Epochs,Test Accuracy,Train Accuracy,ProbAct Sigma Value
65,50.68,99.72399999999999,0.000724598066881299
66,50.68,99.766,0.0006381187704391778
67,50.35,99.78,0.010870628990232944
68,50.33,99.78,0.0011180660221725702
69,50.54,99.714,0.0003572414861992001
70,50.61,99.70200000000001,-0.002987817395478487
71,50.59,99.76,0.005178105551749468
72,50.49,99.796,0.001629561884328723
73,50.5,99.736,-0.004007543437182903
74,50.42,99.796,-0.002503512427210808
75,50.2,99.78,-0.004323523025959729
76,49.96,99.77600000000001,0.00010361522436141968
77,50.47,99.79,0.002647683722898364
78,49.91,99.71600000000001,-0.00022591601009480655
79,50.31,99.726,0.00024553827825002367
80,50.16,99.77799999999999,-0.0013455181615427134
81,50.29,99.814,-7.375703717116266e-05
82,50.56,99.82600000000001,-0.0006333611672744155
83,50.74,99.804,-0.00016468745889142156
84,50.27,99.78200000000001,0.006978762336075306
85,50.17,99.74600000000001,-0.004170869942754507
86,50.08,99.706,0.0013028433313593268
87,50.08,99.79799999999999,-0.0014507010346278546
88,50.27,99.772,-0.0010555800981819632
89,50.33,99.822,0.0011557751568034293
90,50.02,99.75200000000001,0.0036932965740561494
91,49.96,99.794,-0.0006445817416533827
92,49.89,99.818,-0.0007806049543432891
93,50.1,99.80799999999999,0.001176696736365557
94,50.34,99.83,0.0027111542876809835
95,50.26,99.81,-0.005686795804649592
96,50.09,99.766,-0.0013736698310822248
97,50.63,99.82,0.0026885948609560732
98,50.17,99.774,0.009147549048066141
99,50.1,99.818,-0.0005874145426787436
100,50.33,99.85600000000001,0.0002142886514775455
101,50.27,99.868,0.0001198814788949676
102,50.44,99.88,-7.332841778406872e-05
103,50.35,99.89200000000001,-0.00029400250059552485
104,50.39,99.87799999999999,-3.696187923196703e-05
105,50.18,99.89200000000001,9.732881153468044e-05
106,50.34,99.916,-0.00042340051732026035
107,50.53,99.932,4.249423000146635e-05
108,50.49,99.91799999999999,-0.00016744922322686762
109,50.38,99.91799999999999,-0.00017926006694324317
110,50.3,99.93,4.573427941068076e-05
111,50.49,99.884,-0.0004934245371259749
112,50.71,99.902,-0.00010536105401115492
113,50.61,99.916,-3.802312130574137e-05
114,50.6,99.94200000000001,-0.0001949221477843821
115,50.69,99.92200000000001,-0.0003996053710579872
116,50.68,99.95200000000001,-0.00041262866579927504
117,50.35,99.93,0.0002700634940993041
118,50.61,99.934,0.00014757613826077431
119,50.73,99.92,-0.00012288386642467228
120,50.46,99.93,-0.00022304122103378174
121,50.5,99.944,-5.379385038395412e-05
122,50.52,99.94200000000001,8.519501716364175e-05
123,50.73,99.94200000000001,3.49658694176469e-05
124,50.51,99.932,0.0003414777456782758
125,50.64,99.936,0.0007299841381609441
126,50.61,99.944,3.503646803437732e-05
127,50.73,99.926,0.00017452587781008333
128,50.6,99.948,-2.270408185722772e-05
129,50.71,99.934,0.0001435286394553259
130,50.68,99.936,-1.2296493878238834e-05
131,50.5,99.94,0.00019690398767124861
132,50.88,99.948,-3.2307248147844807e-06
133,50.6,99.95,-0.00017519124958198518
134,50.63,99.95,-0.00014038239896763116
135,50.65,99.92,-7.124095282051711e-05
136,50.82,99.948,-6.077913712942972e-05
137,50.78,99.94,-3.6663201171904796e-05
138,50.74,99.95200000000001,-0.00016477816097903997
139,50.8,99.94200000000001,-0.0002510201884433627
140,50.68,99.93799999999999,0.0004014632140751928
141,50.66,99.934,-9.929383668350056e-05
142,50.63,99.926,0.0001824681385187432
143,50.82,99.93799999999999,-0.00011782602086896077
144,50.62,99.93,-2.398296601313632e-06
145,50.49,99.944,0.00030123276519589126
146,50.8,99.948,0.0001196201774291694
147,50.71,99.94200000000001,0.0003796681703533977
148,50.61,99.95200000000001,0.0004103460814803839
149,50.82,99.94200000000001,2.960756683023646e-05
150,50.74,99.948,-2.9892235033912584e-05
151,50.65,99.956,-0.0001510418951511383
152,50.79,99.934,7.524454849772154e-05
153,50.66,99.93799999999999,-5.773354496341199e-05
154,50.55,99.926,2.9905408155173067e-05
155,50.85,99.93799999999999,-3.349174949107692e-05
156,50.76,99.946,2.2758900740882385e-05
157,50.65,99.946,2.069830588879995e-05
158,50.58,99.946,-1.6024834621930495e-05
159,50.7,99.948,5.2797076932620266e-06
160,50.78,99.95200000000001,2.472572123224381e-05
161,50.83,99.946,3.8866899558342986e-05
162,50.93,99.93799999999999,-5.5354619689751416e-05
163,50.7,99.944,1.2240805517649278e-05
164,50.58,99.94,-1.6681051420164295e-05
165,50.74,99.93799999999999,2.063984356936999e-05
166,50.75,99.94,-1.7572539945831522e-05
167,50.67,99.96600000000001,8.38685139115114e-07
168,50.64,99.964,-5.791899457108229e-05
169,50.88,99.932,-2.6732051992439665e-05
170,50.85,99.93,6.5950425778282815e-06
171,50.72,99.958,-3.9839669625507674e-05
172,50.78,99.94200000000001,-2.112747642968316e-05
173,50.72,99.956,2.635314012877643e-05
174,50.74,99.95,4.39241648564348e-06
175,50.72,99.944,3.1221439712680876e-05
176,50.76,99.948,-2.9489528969861567e-06
177,50.74,99.94200000000001,-7.551578164566307e-06
178,50.81,99.94,4.670099224313162e-05
179,50.77,99.956,-4.707744380993972e-07
180,50.62,99.94,-1.010866526485188e-05
181,50.67,99.964,-3.3132797398138785e-05
182,50.87,99.946,5.251127367955633e-05
183,50.68,99.958,-1.0749137800303286e-05
184,50.71,99.954,2.2423326299758628e-05
185,50.71,99.946,-3.0081237127888013e-05
186,50.8,99.94,6.678543286398052e-06
187,50.79,99.954,1.848217834776733e-06
188,50.67,99.94,2.6860048819798976e-05
189,50.76,99.93,-1.3146995115675965e-05
