Epochs,Test Accuracy,Train Accuracy
195,42.7,66.766
196,43.39,66.678
197,43.48,66.702
198,43.05,67.388
199,43.2,66.832
200,43.92,67.514
201,43.16,67.77199999999999
202,43.55,67.908
203,43.53,68.122
204,43.62,68.32600000000001
205,43.66,68.52199999999999
206,43.68,68.25
207,43.84,68.376
208,43.48,68.556
209,43.82,68.512
210,43.24,68.42399999999999
211,43.79,68.832
212,43.58,68.806
213,43.71,68.786
214,43.55,69.128
215,43.49,68.96
216,43.57,69.2
217,43.91,69.104
218,43.72,69.24600000000001
219,43.63,68.992
220,43.5,69.058
221,43.73,69.238
222,43.13,69.212
223,44.19,69.172
224,43.77,69.3
225,43.84,69.396
226,44.33,69.596
227,43.83,69.262
228,44.11,69.47800000000001
229,43.52,69.44
230,44.34,69.608
231,43.46,69.35600000000001
232,43.88,69.748
233,43.23,69.712
234,43.72,69.55
235,43.6,69.828
236,43.61,69.758
237,44.06,69.676
238,43.73,70.28
239,43.33,69.486
240,43.98,69.982
241,43.8,70.012
242,43.57,69.8
243,43.4,70.096
244,44.0,70.074
245,43.93,70.032
246,43.77,69.93
247,43.9,70.072
248,43.6,70.39399999999999
249,43.49,70.054
250,43.53,69.946
251,43.8,70.278
252,44.17,70.24600000000001
253,44.07,70.178
254,43.92,70.108
255,44.17,70.178
256,43.72,70.516
257,43.84,70.566
258,43.51,70.38600000000001
259,43.72,70.49
260,43.97,70.38
261,43.78,70.744
262,44.43,70.676
263,43.92,70.78
264,43.61,70.8
265,43.76,70.82
266,43.74,70.744
267,44.08,71.072
268,44.23,70.98
269,43.99,71.16199999999999
270,43.58,70.88
271,44.07,70.91199999999999
272,43.61,71.00399999999999
273,44.18,71.268
274,44.01,71.348
275,44.13,71.11
276,43.91,71.316
277,43.64,71.182
278,44.31,71.294
279,43.76,71.408
280,43.48,71.442
281,44.18,71.258
282,44.19,71.316
283,44.07,71.56
284,43.69,71.19
285,44.28,71.472
286,43.84,71.382
287,43.83,71.686
288,44.04,71.66199999999999
289,44.37,71.28
290,43.62,71.642
291,43.86,72.098
292,44.09,71.374
293,44.1,71.722
294,43.97,71.668
295,43.66,71.634
296,44.02,71.84
297,43.79,71.782
298,44.06,71.94800000000001
299,44.02,71.92399999999999
300,44.0,71.97399999999999
301,43.77,71.906
302,44.47,72.232
303,44.41,72.274
304,43.79,72.176
305,44.26,72.154
306,43.78,72.26
307,43.93,72.046
308,44.02,71.92
309,44.3,72.10600000000001
310,44.11,72.146
311,44.17,72.05
312,44.2,72.142
313,43.88,72.52
314,44.59,72.108
315,43.87,72.218
316,44.1,72.232
317,44.0,72.21
318,43.95,72.018
319,43.93,72.074
320,43.92,72.104
321,44.12,72.066
322,43.71,72.298
323,44.08,72.128
324,44.31,72.244
325,43.96,72.384
326,44.11,72.182
327,43.88,72.206
328,43.94,72.486
329,43.87,71.95
330,43.74,72.056
331,44.11,72.408
332,44.31,72.402
333,44.18,72.306
334,44.18,72.52600000000001
335,43.88,72.204
336,44.05,72.0
337,43.79,72.318
338,44.21,72.138
339,44.23,72.124
340,44.43,72.322
341,43.08,72.206
342,44.36,72.134
343,43.88,72.126
344,43.72,72.482
345,43.85,72.27600000000001
346,43.98,72.22
347,43.98,72.30199999999999
348,43.71,72.388
349,43.96,72.252
350,43.99,72.32600000000001
351,44.28,72.108
352,44.4,72.408
353,44.08,72.46
354,43.95,72.52199999999999
355,43.62,72.42
356,44.37,72.616
357,43.84,72.336
358,44.02,72.45
359,44.19,71.96600000000001
360,44.25,72.384
361,43.99,72.354
362,43.75,72.314
363,44.29,72.312
364,44.23,72.318
365,44.23,72.586
366,43.58,72.33
367,43.92,72.334
368,44.22,72.536
369,44.28,72.252
370,43.91,72.514
371,43.99,72.42399999999999
372,44.07,72.50399999999999
373,44.17,72.584
374,43.85,72.288
375,43.61,72.322
376,44.16,72.34
377,43.82,72.402
378,44.36,72.218
379,43.94,72.566
380,43.86,72.764
381,44.11,72.44800000000001
382,44.24,72.50399999999999
383,43.83,72.476
384,44.06,72.51
385,44.43,72.418
386,44.25,72.16199999999999
387,44.51,72.512
388,44.02,72.49
389,44.19,72.53
390,44.15,72.608
391,43.97,72.494
392,44.27,72.782
393,44.44,72.574
394,43.95,72.66199999999999
395,44.07,72.562
396,44.25,72.546
397,43.81,72.47399999999999
398,44.11,72.682
399,44.19,72.126
