Epochs,Test Accuracy,Train Accuracy
0,1.49,1.166
1,1.84,1.4080000000000001
2,2.21,1.68
3,2.23,1.7719999999999998
4,2.74,2.136
5,3.19,2.2680000000000002
6,2.95,2.416
7,2.98,2.426
8,3.38,2.454
9,3.13,2.526
10,3.67,2.616
11,3.23,2.786
12,3.53,2.8160000000000003
13,3.91,3.112
14,5.61,3.4619999999999997
15,5.98,3.9019999999999997
16,6.06,4.256
17,7.21,4.57
18,7.97,5.2860000000000005
19,9.27,5.56
20,9.26,5.942
21,10.51,6.3420000000000005
22,10.72,6.856
23,11.3,7.52
24,11.18,7.864
25,13.16,8.3
26,14.85,8.496
27,13.65,8.736
28,14.05,9.16
29,14.05,9.828
30,13.09,10.088
31,15.2,10.742
32,16.28,11.104000000000001
33,16.63,11.55
34,17.4,12.112
35,17.64,12.49
36,18.67,13.058
37,17.6,13.532
38,17.92,14.19
39,20.0,14.874
40,19.19,15.214
41,19.06,15.594000000000001
42,20.85,16.0
43,19.62,16.526
44,20.68,17.186
45,21.08,17.528
46,21.87,17.952
47,22.35,18.194000000000003
48,23.82,18.972
49,22.06,19.25
50,22.9,19.924
51,24.23,20.18
52,24.17,20.822
53,25.39,21.396
54,24.35,21.976
55,26.12,22.261999999999997
56,26.84,22.684
57,25.42,22.822
58,26.06,23.63
59,26.47,24.128
60,27.53,24.766
61,27.59,25.195999999999998
62,27.86,25.798000000000002
63,28.18,26.56
64,29.53,27.13
65,28.31,27.366
66,30.49,27.47
67,29.35,28.214000000000002
68,31.38,28.662
69,30.45,28.858
70,28.95,29.1
71,31.81,29.302
72,32.18,30.68
73,31.33,31.226
74,31.03,31.421999999999997
75,32.2,31.694000000000003
76,33.51,33.024
77,31.96,33.198
78,33.1,33.172
79,31.09,34.134
80,33.4,34.092
81,33.29,34.742
82,33.47,34.86
83,33.82,34.846
84,33.23,35.626
85,34.72,35.72
86,34.28,36.42
87,33.32,36.792
88,34.59,36.89
89,35.88,36.852
90,33.49,36.898
91,35.43,37.696
92,33.91,37.558
93,32.85,38.372
94,34.57,38.824
95,34.79,39.046
96,35.22,39.85
97,35.14,39.842
98,34.79,39.382
99,32.56,40.314
100,38.11,42.132
101,38.77,44.071999999999996
102,38.55,45.111999999999995
103,38.62,45.472
104,38.41,45.964
105,39.07,46.922
106,38.81,46.961999999999996
107,39.45,47.46
108,38.92,47.63399999999999
109,38.7,48.302
110,39.06,48.668
111,38.94,49.228
112,39.14,49.412
113,39.5,50.136
114,39.74,50.278
115,39.47,50.574
116,39.94,51.082
117,39.42,51.568000000000005
118,39.62,51.894
119,39.9,52.236000000000004
120,39.85,52.286
121,39.87,52.476000000000006
122,39.5,52.29
123,40.22,52.908
124,39.85,52.95
125,39.45,53.006
126,40.91,53.63
127,40.04,53.952
128,40.13,53.926
129,40.31,54.434
130,40.7,54.44
131,40.23,54.77
132,40.19,55.096000000000004
133,40.63,55.244
134,40.37,55.656000000000006
135,40.41,55.912
136,40.44,56.05
137,40.24,56.29600000000001
138,40.17,56.744
139,40.38,57.013999999999996
140,40.82,57.136
141,40.95,57.38
142,40.7,57.782
143,40.8,57.622
144,40.92,57.996
145,41.1,58.64
146,41.19,58.302
147,40.85,58.76
148,41.05,58.758
149,41.67,58.966
150,41.31,59.386
151,41.55,59.592
152,40.95,59.693999999999996
153,41.43,59.938
154,41.46,60.13
155,41.49,60.12
156,41.17,60.674
157,41.65,60.388000000000005
158,41.56,60.894
159,41.34,60.758
160,41.93,61.13
161,41.74,61.126000000000005
162,41.28,61.474
163,41.18,61.638000000000005
164,41.76,61.751999999999995
165,41.78,61.95399999999999
166,41.9,61.848
167,42.08,62.318000000000005
168,41.89,62.623999999999995
169,42.19,62.772
170,42.78,63.288000000000004
171,42.41,63.144
172,42.02,63.20399999999999
173,42.69,63.426
174,42.2,63.802
175,42.23,64.206
176,42.53,64.00399999999999
177,42.27,63.968
178,42.15,64.296
179,42.56,64.546
180,42.25,64.598
181,42.72,64.734
182,43.11,65.22800000000001
183,42.67,65.03
184,42.56,65.13600000000001
185,42.16,65.12
186,42.98,65.38600000000001
187,42.55,65.358
188,43.98,65.554
189,42.78,65.926
190,43.15,66.04
191,43.19,65.99
192,43.21,66.206
193,43.11,66.358
194,42.79,66.414
