Epochs,Test Accuracy,Train Accuracy
294,46.14,79.244
295,46.04,79.348
296,45.84,79.554
297,46.18,79.542
298,46.16,79.60600000000001
299,46.26,79.69
300,46.29,79.612
301,46.49,79.692
302,46.7,79.446
303,46.16,79.296
304,45.99,79.544
305,46.43,79.414
306,46.0,79.8
307,46.62,79.22
308,46.19,79.506
309,46.25,79.75399999999999
310,46.18,79.546
311,46.19,79.828
312,46.11,79.418
313,45.97,79.476
314,46.14,79.63600000000001
315,46.26,79.62
316,45.99,79.77199999999999
317,46.66,79.428
318,46.43,79.72800000000001
319,46.2,79.62
320,46.35,79.726
321,46.1,79.684
322,46.22,79.63
323,46.21,79.47800000000001
324,46.0,79.648
325,46.12,79.682
326,46.3,79.55
327,46.26,79.818
328,46.16,79.64
329,45.92,79.7
330,46.16,79.896
331,46.03,79.492
332,46.5,79.78
333,46.5,79.52
334,46.42,79.734
335,45.83,79.594
336,45.73,79.53399999999999
337,46.24,79.732
338,46.17,79.344
339,46.55,79.618
340,46.53,79.816
341,46.14,79.656
342,46.45,79.916
343,46.23,79.734
344,46.31,79.63600000000001
345,46.28,79.71
346,46.48,79.77199999999999
347,46.26,79.748
348,46.11,79.658
349,46.11,79.774
350,46.4,79.65
351,46.25,79.938
352,46.51,79.812
353,46.17,80.07600000000001
354,46.15,79.626
355,46.15,79.868
356,46.18,79.708
357,46.06,79.612
358,46.01,79.596
359,46.46,79.634
360,46.08,79.60600000000001
361,46.04,79.634
362,46.25,79.54
363,46.35,79.564
364,46.34,79.866
365,46.1,79.586
366,46.43,79.816
367,46.13,79.96600000000001
368,45.83,79.854
369,46.38,79.586
370,46.29,79.804
371,46.1,79.844
372,46.65,79.796
373,46.3,79.80199999999999
374,46.14,79.482
375,46.07,79.73
376,46.15,79.664
377,46.06,79.646
378,46.33,79.586
379,46.4,79.95
380,46.27,79.63600000000001
381,46.16,79.788
382,46.02,80.024
383,46.45,79.688
384,46.28,79.582
385,46.16,79.682
386,46.34,79.692
387,46.23,79.58800000000001
388,46.15,79.506
389,46.1,79.83
390,45.86,79.83800000000001
391,46.46,79.758
392,46.15,79.83
393,46.3,79.732
394,46.27,79.482
395,46.41,79.782
396,46.22,79.71
397,46.15,79.748
398,45.87,79.938
399,46.15,79.72800000000001
